Name,Location,Qualifying,Years Running,Opening Date,Early Deadline,Regular Deadline,Final Deadline,Style,Max Short Runtime,Min Feature Runtime,Genre,Filmmaker Type,Budget,File Type: DCP,File Type: Online Screener,City Premiere Necessary,State Premiere Necessary,National Premiere Necessary,World Premiere Necessary,Completed After Date,Completed By Date,Festival Focus,Length
Sundance Film Festival,"Park City, UT, United States","Academy Award, BAFTA, Canadian Screen",41,23-May-24,9-Aug-24,6-Sep-24," Sept 23, 2024","Documentary, Narrative, Episodic, Animation ",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery"," LGBTQIA+, Humanitarian, Social",,Yes,Yes,,,,,,,,"Short, Feature"
Slamdance Film Festival,"Los Angeles, CA, United States","Academy Award, BAFTA, Canadian Screen",30,8-May-24,8-Jul-24,12-Aug-24,11-Oct-24,"Narrative, Documentary, Experimental, Animation, Episodic",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",,<1000000,Yes,Yes,,,,,,,,"Short, Feature"
HollyShorts Film Festival,"Sherman Oaks, CA, United States","Academy Award, BAFTA",21,21-Aug-24,31-Jan-25,4-Apr-25,2-Jun-25,"Animation, Documentary, Narrative",< 40 ,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",,,Yes,Yes,Yes,,,,,,,Short
Flickers' Rhode Island International Film Festival,"Providence, RI, United States","Academy Award, BAFTA, Canadian Screen",29,16-Aug-24,15-Jan-25,15-May-25,15-Jul-25,"Documentary, Narrative, Experimental",40,41,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Indigenous, African-American, Student,  LGBTQIA+,",,,Yes,,,Yes,Yes,21-Jan,,International ,"Short, Feature"
Palm Springs International ShortFest,"Palm Springs, CA, United States","Academy Award, BAFTA, Goya, Canadian Screen",31,1-Sep-24,1-Dec-24,31-Dec-24,16-May-25,"Animation, Documentary, Live Action",40,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","Student,  LGBTQIA+",,Yes,Yes,,,,,31-Dec-23,,International ,Short
Atlanta Film Festival,"Atlanta, GA, United States","Academy Award, Canadian Screen",47,5-May-24,27-Jun-24,13-Sep-24,14-Feb-25,"Narrative, Documentary, Animation, Experimental, Episodic, Music Video",,,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery","BIPOC, Georgia Filmmakers , Female,  LGBTQIA+",,Yes,Yes,,Yes,Yes,Yes,1-Oct-22,,,"Short, Feature"
Seattle International Film Festival,"Seattle, WA, United States","Academy Award, Canadian Screen",51,5-Aug-24,3-Oct-24,19-Dec-24,23-Jan-25,"Narrative, Documentary, Animation, Experimental",40,41,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",Local Seattle Filmmaker ,,Yes,Yes,,Yes,Yes,Yes,24-Jan,,International ,"Short, Feature"
Cleveland International Film Festival,"Cleveland, OH, United States","Academy Award, Canadian Screen",49,8-Jul-24,6-Sep-24,1-Dec-24,3-Jan-25,"Narrative, Documentary, Animation, Music Video, Web Series",45,45,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",Local Clevland Filmmaker ,,Yes,Yes,Yes,Yes,Yes,Yes,1-Jun-23,,International ,"Short, Feature"
Santa Barbara International Film Festival (SBIFF),"Santa Barbara, CA, United States","Academy Award, BAFTA ",40,1-Jul-24,9-Aug-24,1-Dec-24,10-Jan-25,"Narrative, Documentary, Animation, ",40,41,Nature,"Nature, Santa Barbara Filmmakers",,Yes,Yes,Yes,Yes,Yes,Yes,23-Dec,,,"Short, Feature"
Brooklyn Film Festival (BFF),"Brooklyn, NY, United States",Canadian Screen Award ,28,13-Jun-24,31-Oct-24,23-Dec-24,13-Mar-25,"Narrative, Documentary, Animation, Experimental",50,50,"Action, Comedy, Dark Comedy, Dark Drama, Dark Fantasy, Dark Science Fiction, Drama, Fantasy, Found Footage Horror, Found Footage Comedy, Horror Comedy, Horror, Science Fiction, Romance, Romantic Comedy, Suspense Thriller, Thriller, Family, Musical, Sport, War, Western, Black Comedy, Buddy Comedy, Coming of Age, Cyber Punk, Detective, Fantasy-Drama, Fantasy-Comedy, Mockumentary, Period Piece, Political Thriller, Science Fiction Horror, Science Fiction Thriller, Religious, Silent, Feminist, Cult, Mystery",First Time Filmmakers,,Yes,Yes,Yes,Yes,Yes,Yes,13-Jun-23,,,"Short, Feature"
